iter	Passed	Remaining
203	4381	17096
204	4401	17067
205	4418	17032
206	4436	16997
207	4455	16966
208	4472	16928
209	4492	16899
210	4511	16869
211	4530	16838
212	4548	16804
213	4566	16770
214	4584	16739
215	4601	16703
216	4620	16670
217	4637	16633
218	4655	16601
219	4678	16588
220	4700	16570
221	4721	16547
222	4745	16533
223	4766	16512
224	4786	16486
225	4806	16460
226	4826	16434
227	4849	16419
228	4871	16401
229	4892	16380
230	4916	16368
231	4939	16353
232	4964	16343
233	4987	16326
234	5010	16310
235	5046	16337
236	5067	16314
237	5089	16293
238	5109	16270
239	5130	16245
240	5150	16220
241	5169	16193
242	5190	16170
243	5210	16144
244	5230	16117
245	5251	16095
246	5271	16070
247	5292	16047
248	5313	16025
249	5333	16000
250	5353	15975
251	5372	15946
252	5393	15925
253	5414	15902
254	5435	15880
255	5456	15857
256	5481	15847
257	5504	15830
258	5525	15807
259	5545	15783
260	5565	15759
261	5587	15738
262	5608	15715
263	5631	15699
264	5653	15679
265	5672	15653
266	5692	15626
267	5711	15600
268	5731	15574
269	5751	15550
270	5773	15530
271	5792	15503
272	5812	15479
273	5835	15460
274	5857	15441
275	5880	15425
276	5901	15403
277	5923	15384
278	5943	15358
279	5960	15326
280	5979	15298
281	5997	15270
282	6021	15254
283	6039	15226
284	6074	15238
285	6092	15209
286	6111	15182
287	6129	15153
288	6151	15133
289	6169	15104
290	6186	15073
291	6205	15045
292	6225	15021
293	6243	14991
294	6260	14962
295	6279	14933
296	6297	14906
297	6315	14878
298	6334	14851
299	6352	14822
300	6372	14799
301	6391	14771
302	6409	14744
303	6428	14717
304	6446	14688
305	6464	14660
306	6484	14636
307	6501	14608
308	6520	14580
309	6542	14562
310	6564	14542
311	6585	14522
312	6605	14497
313	6623	14469
314	6641	14443
315	6659	14415
316	6678	14389
317	6696	14361
318	6716	14337
319	6738	14318
320	6757	14294
321	6776	14269
322	6795	14243
323	6816	14221
324	6838	14203
325	6860	14184
326	6883	14167
327	6904	14144
328	6923	14121
329	6943	14097
330	6961	14070
331	6982	14049
332	7004	14029
333	7024	14006
334	7045	13986
335	7063	13959
336	7102	13972
337	7123	13951
338	7144	13931
339	7167	13913
340	7190	13896
341	7213	13878
342	7236	13861
343	7258	13841
344	7279	13821
345	7304	13805
346	7326	13787
347	7347	13765
348	7370	13748
349	7388	13722
350	7406	13694
351	7425	13669
352	7442	13641
353	7461	13616
354	7481	13593
355	7498	13565
356	7517	13540
357	7535	13513
358	7553	13486
359	7571	13461
360	7589	13434
361	7607	13406
362	7624	13380
363	7643	13354
364	7661	13328
365	7677	13300
366	7697	13275
367	7714	13249
368	7732	13223
369	7750	13196
370	7768	13170
371	7787	13147
372	7812	13132
373	7838	13120
374	7868	13114
375	7893	13099
376	7918	13085
377	7942	13068
378	7964	13050
379	7987	13031
380	8008	13011
381	8030	12991
382	8051	12970
383	8075	12954
384	8093	12928
385	8112	12903
386	8151	12911
387	8172	12890
388	8190	12864
389	8207	12836
390	8226	12812
391	8245	12788
392	8263	12763
393	8282	12739
394	8299	12711
395	8317	12685
396	8335	12660
397	8352	12634
398	8371	12609
399	8389	12584
400	8408	12560
401	8429	12539
402	8445	12511
403	8464	12487
404	8481	12461
405	8500	12437
406	8517	12410
407	8536	12385
408	8553	12359
409	8571	12334
410	8589	12309
411	8607	12284
412	8625	12259
413	8643	12234
414	8660	12207
415	8677	12182
416	8695	12156
417	8714	12133
418	8730	12106
419	8748	12081
420	8766	12056
421	8785	12032
422	8804	12009
423	8821	11983
424	8837	11956
425	8857	11934
426	8875	11910
427	8893	11885
428	8912	11862
429	8933	11842
430	8958	11827
431	8982	11809
432	9004	11791
433	9028	11773
434	9051	11756
435	9073	11737
436	9097	11720
437	9119	11701
438	9144	11685
439	9172	11673
440	9216	11682
441	9235	11658
442	9254	11636
443	9273	11612
444	9292	11589
445	9310	11564
446	9329	11541
447	9348	11518
448	9366	11494
449	9385	11471
450	9403	11447
451	9421	11422
452	9442	11401
453	9460	11377
454	9480	11356
455	9502	11336
456	9522	11314
457	9540	11290
458	9561	11269
459	9585	11252
460	9611	11238
461	9635	11220
462	9661	11206
463	9684	11187
464	9708	11170
465	9731	11152
466	9754	11133
467	9778	11115
468	9805	11101
469	9834	11090
470	9860	11074
471	9888	11061
472	9914	11046
473	9939	11030
474	9963	11012
475	9987	10994
476	10012	10978
477	10037	10961
478	10062	10945
479	10088	10929
480	10111	10910
481	10136	10893
482	10159	10874
483	10184	10857
484	10207	10839
485	10261	10852
486	10308	10858
487	10330	10838
488	10351	10816
489	10373	10797
490	10397	10778
491	10420	10759
492	10443	10739
493	10465	10719
494	10485	10697
495	10506	10676
496	10530	10657
497	10550	10635
498	10571	10614
499	10592	10592
500	10616	10573
501	10637	10552
502	10660	10533
503	10682	10513
504	10706	10494
505	10730	10475
506	10758	10461
507	10785	10446
508	10810	10428
509	10836	10411
510	10858	10391
511	10884	10374
512	10910	10357
513	10936	10340
514	10958	10319
515	10982	10301
516	11009	10285
517	11033	10266
518	11061	10251
519	11086	10233
520	11110	10214
521	11129	10191
522	11149	10169
523	11169	10145
524	11189	10123
525	11208	10100
526	11229	10078
527	11248	10055
528	11269	10033
529	11290	10011
530	11344	10020
531	11367	9999
532	11385	9975
533	11403	9950
534	11421	9927
535	11440	9903
536	11461	9882
537	11480	9858
538	11498	9834
539	11515	9809
540	11535	9786
541	11557	9766
542	11577	9743
543	11595	9719
544	11614	9696
545	11632	9672
546	11652	9650
547	11671	9627
548	11690	9603
549	11709	9580
550	11728	9557
551	11750	9536
552	11773	9517
553	11793	9494
554	11818	9476
555	11842	9456
556	11864	9436
557	11888	9416
558	11910	9396
559	11933	9376
560	11956	9356
561	11979	9336
562	12002	9316
563	12024	9295
564	12045	9274
565	12067	9253
566	12087	9230
567	12109	9210
568	12129	9187
569	12149	9165
570	12172	9145
571	12195	9125
572	12219	9105
573	12243	9086
574	12274	9072
575	12306	9058
576	12339	9046
577	12361	9025
578	12416	9027
579	12437	9006
580	12455	8982
581	12473	8958
582	12491	8934
583	12509	8910
584	12528	8887
585	12546	8863
586	12563	8839
587	12582	8816
588	12601	8793
589	12619	8769
590	12640	8747
591	12660	8725
592	12678	8701
593	12698	8679
594	12720	8658
595	12739	8635
596	12759	8613
597	12780	8591
598	12800	8569
599	12821	8547
600	12845	8527
601	12863	8504
602	12883	8482
603	12903	8459
604	12923	8437
605	12943	8415
606	12963	8392
607	12981	8369
608	13000	8346
609	13020	8324
610	13038	8301
611	13060	8279
612	13077	8256
613	13095	8232
614	13115	8210
615	13133	8187
616	13152	8164
617	13171	8141
618	13189	8118
619	13208	8095
620	13225	8071
621	13243	8048
622	13262	8025
623	13280	8002
624	13306	7984
625	13327	7962
626	13346	7939
627	13363	7915
628	13381	7892
629	13400	7870
630	13419	7847
631	13476	7847
632	13503	7828
633	13522	7806
634	13544	7785
635	13564	7763
636	13583	7740
637	13603	7718
638	13620	7694
639	13637	7670
640	13653	7647
641	13671	7623
642	13688	7600
643	13706	7576
644	13725	7554
645	13743	7531
646	13764	7509
647	13785	7488
648	13810	7469
649	13835	7449
650	13857	7428
651	13879	7408
652	13909	7391
653	13934	7372
654	13954	7350
655	13975	7328
656	13993	7305
657	14009	7281
658	14027	7258
659	14046	7235
660	14064	7213
661	14082	7190
662	14100	7167
663	14118	7144
664	14138	7122
665	14156	7099
666	14176	7077
667	14197	7056
668	14218	7035
669	14237	7012
670	14257	6990
671	14277	6968
672	14298	6947
673	14316	6924
674	14335	6902
675	14356	6880
676	14375	6858
677	14393	6835
678	14412	6813
679	14430	6790
680	14450	6768
681	14470	6747
682	14536	6747
683	14560	6726
684	14584	6706
685	14604	6684
686	14625	6663
687	14647	6642
688	14666	6620
689	14688	6599
690	14708	6577
691	14732	6557
692	14754	6536
693	14778	6516
694	14802	6495
695	14822	6474
696	14842	6452
697	14863	6430
698	14883	6409
699	14903	6387
700	14923	6365
701	14941	6342
702	14962	6321
703	14981	6298
704	15001	6277
705	15021	6255
706	15040	6233
707	15060	6211
708	15080	6189
709	15099	6167
710	15118	6145
711	15138	6123
712	15155	6100
713	15174	6078
714	15194	6056
715	15214	6034
716	15235	6013
717	15256	5992
718	15276	5970
719	15299	5949
720	15319	5927
721	15339	5906
722	15360	5885
723	15385	5865
724	15404	5843
725	15424	5821
726	15444	5799
727	15464	5777
728	15483	5755
729	15503	5734
730	15523	5712
731	15544	5691
732	15614	5687
733	15635	5666
734	15655	5644
735	15677	5623
736	15697	5601
737	15719	5580
738	15741	5559
739	15759	5537
740	15777	5514
741	15795	5492
742	15812	5469
743	15830	5447
744	15849	5424
745	15865	5402
746	15883	5379
747	15901	5357
748	15918	5334
749	15938	5312
750	15956	5290
751	15975	5268
752	15992	5245
753	16010	5223
754	16030	5201
755	16047	5179
756	16065	5157
757	16085	5135
758	16104	5113
759	16122	5091
760	16141	5069
761	16158	5046
762	16178	5025
763	16196	5003
764	16215	4981
765	16234	4959
766	16251	4936
767	16270	4915
768	16290	4893
769	16310	4871
770	16329	4850
771	16347	4828
772	16364	4805
773	16382	4783
774	16400	4761
775	16417	4739
776	16436	4717
777	16452	4694
778	16470	4672
779	16490	4651
780	16509	4629
781	16527	4607
782	16545	4585
783	16563	4563
784	16581	4541
785	16600	4519
786	16620	4498
787	16685	4489
788	16713	4469
789	16737	4449
790	16755	4427
791	16776	4405
792	16794	4383
793	16811	4361
794	16832	4340
795	16852	4318
796	16872	4297
797	16889	4275
798	16908	4253
799	16928	4232
800	16947	4210
801	16966	4188
802	16987	4167
803	17006	4145
804	17025	4124
805	17044	4102
806	17063	4080
807	17082	4059
808	17101	4037
809	17120	4015
810	17138	3994
811	17157	3972
812	17175	3950
813	17193	3928
814	17211	3906
815	17228	3884
816	17245	3862
817	17262	3840
818	17280	3818
819	17300	3797
820	17318	3775
821	17338	3754
822	17358	3733
823	17378	3711
824	17394	3689
825	17413	3668
826	17432	3646
827	17449	3624
828	17467	3603
829	17485	3581
830	17505	3560
831	17523	3538
832	17542	3516
833	17560	3495
834	17580	3474
835	17598	3452
836	17615	3430
837	17635	3409
838	17657	3388
839	17676	3366
840	17695	3345
841	17762	3333
842	17786	3312
843	17806	3291
844	17824	3269
845	17842	3247
846	17860	3226
847	17879	3204
848	17898	3183
849	17916	3161
850	17935	3140
851	17956	3119
852	17975	3097
853	17995	3076
854	18016	3055
855	18034	3033
856	18055	3012
857	18073	2991
858	18092	2969
859	18109	2948
860	18128	2926
861	18146	2905
862	18166	2883
863	18185	2862
864	18203	2841
865	18221	2819
866	18242	2798
867	18262	2777
868	18282	2755
869	18301	2734
870	18320	2713
871	18340	2692
872	18359	2670
873	18379	2649
874	18400	2628
875	18422	2607
876	18442	2586
877	18460	2565
878	18478	2543
879	18497	2522
880	18517	2501
881	18537	2480
882	18557	2458
883	18576	2437
884	18593	2416
885	18611	2394
886	18628	2373
887	18647	2351
888	18664	2330
889	18681	2308
890	18699	2287
891	18716	2266
892	18733	2244
893	18751	2223
894	18771	2202
895	18835	2186
896	18854	2164
897	18872	2143
898	18894	2122
899	18912	2101
900	18929	2079
901	18946	2058
902	18964	2037
903	18981	2015
904	19000	1994
905	19016	1973
906	19035	1951
907	19051	1930
908	19069	1909
909	19086	1887
910	19104	1866
911	19119	1844
912	19137	1823
913	19156	1802
914	19173	1781
915	19192	1759
916	19209	1738
917	19225	1717
918	19243	1696
919	19262	1674
920	19281	1653
921	19298	1632
922	19315	1611
923	19333	1590
924	19350	1568
925	19366	1547
926	19384	1526
927	19400	1505
928	19419	1484
929	19445	1463
930	19467	1442
931	19488	1421
932	19508	1400
933	19528	1379
934	19547	1358
935	19565	1337
936	19584	1316
937	19606	1295
938	19626	1275
939	19647	1254
940	19669	1233
941	19692	1212
942	19717	1191
943	19739	1170
944	19762	1150
945	19785	1129
946	19806	1108
947	19826	1087
948	20003	1074
949	20040	1054
950	20064	1033
951	20092	1013
952	20115	992
953	20139	971
954	20164	950
955	20189	929
956	20219	908
957	20243	887
958	20267	866
959	20293	845
960	20320	824
961	20349	803
962	20374	782
963	20399	761
964	20424	740
965	20450	719
966	20473	698
967	20503	677
968	20532	656
969	20553	635
970	20580	614
971	20606	593
972	20628	572
973	20650	551
974	20670	530
975	20691	508
976	20712	487
977	20733	466
978	20754	445
979	20774	423
980	20795	402
981	20816	381
982	20841	360
983	20863	339
984	20888	318
985	20915	296
986	20936	275
987	20957	254
988	20979	233
989	20998	212
990	21018	190
991	21038	169
992	21119	148
993	21148	127
994	21171	106
995	21191	85
996	21210	63
997	21228	42
998	21246	21
999	21264	0
