iter	RMSE
0	0.9550577996
1	0.9203196454
2	0.8896356106
3	0.862216259
4	0.8368248299
5	0.8156267987
6	0.7963084759
7	0.7790012637
8	0.7643413388
9	0.7509433176
10	0.7390252902
11	0.728436757
12	0.7193487349
13	0.7111325761
14	0.7040087594
15	0.6974521743
16	0.691221508
17	0.6862365045
18	0.6815733158
19	0.6775453498
20	0.6735142027
21	0.6699471706
22	0.666569658
23	0.6639225084
24	0.6616627295
25	0.6595306116
26	0.6568826487
27	0.654787421
28	0.6524033321
29	0.6507525378
30	0.6490012035
31	0.647635948
32	0.6463645829
33	0.6449346011
34	0.6437403152
35	0.6423248617
36	0.6413103909
37	0.6401558193
38	0.6391964261
39	0.6385100557
40	0.6375621445
41	0.6368369533
42	0.6359901821
43	0.635088542
44	0.6343492332
45	0.6335617705
46	0.6321847426
47	0.6315346489
48	0.6309634543
49	0.630347238
50	0.6296931096
51	0.6292313729
52	0.6287977152
53	0.6281693142
54	0.6274709978
55	0.6268077179
56	0.6262514404
57	0.6254928741
58	0.6251740655
59	0.6246579383
60	0.6244291761
61	0.6240550744
62	0.6233036943
63	0.6224723953
64	0.6220960508
65	0.6211610922
66	0.6205066928
67	0.6194862121
68	0.6188447154
69	0.6181504961
70	0.6178151738
71	0.6174171959
72	0.6173799027
73	0.6167478651
74	0.6163203525
75	0.6156215067
76	0.6153362527
77	0.614910555
78	0.6147453361
79	0.6142294924
80	0.6135149964
81	0.6131639581
82	0.6126052778
83	0.6124774793
84	0.6121417696
85	0.6117397991
86	0.6115438411
87	0.6109816031
88	0.6106417783
89	0.6103783107
90	0.6099379284
91	0.6097266576
92	0.6094032408
93	0.6091604559
94	0.6084710731
95	0.6083031513
96	0.6081099866
97	0.6080018771
98	0.6077665853
99	0.6074112429
100	0.6071547547
101	0.6067568916
102	0.6064397192
103	0.6062735332
104	0.6057353535
105	0.6053998433
106	0.6053261838
107	0.6045599454
108	0.6041786537
109	0.6037879539
110	0.6034806566
111	0.6029514257
112	0.6027387582
113	0.6022949332
114	0.6015915239
115	0.6013755647
116	0.6009456813
117	0.6007311079
118	0.6002629381
119	0.599857305
120	0.5994880929
121	0.5991142809
122	0.5990524549
123	0.5988333436
124	0.5985908879
125	0.5983862182
126	0.5977557762
127	0.5975851968
128	0.5972308803
129	0.596997748
130	0.5966591236
131	0.5965830183
132	0.5962861627
133	0.5961880531
134	0.5955865592
135	0.5945903403
136	0.5941400609
137	0.593947324
138	0.5938388003
